id,score,f_total_unique_words,f_total_unq_words_stop,f_wc_diff,f_wc_ratio,f_wc_diff_unique,f_wc_ratio_unique,f_wc_diff_unique_stop,f_wc_ratio_unique_stop,f_same_start_word,f_char_diff,f_char_ratio,f_char_diff_unique_stop
10029,1.4,16,10,2,1.0769230769230769,2,1.1538461538461537,0,1.0,1,2,1.0769230769230769,0
10030,2.4,20,12,9,1.2307692307692308,4,1.2666666666666666,3,1.3333333333333333,1,9,1.2307692307692308,3
10031,0.75,17,11,0,1.0,3,1.2307692307692308,2,1.25,1,0,1.0,2
10032,5.0,20,14,6,0.8666666666666667,2,0.8947368421052632,1,0.9230769230769231,0,6,0.8666666666666667,1
10033,3.2,16,10,13,0.5666666666666667,4,0.75,3,0.7,1,13,0.5666666666666667,3
10034,5.0,20,13,2,0.9444444444444444,2,0.9,2,0.8461538461538461,1,2,0.9444444444444444,2
10035,2.0,21,14,2,1.054054054054054,3,1.1764705882352942,4,1.4,1,2,1.054054054054054,4
10036,1.75,20,12,8,1.32,1,0.9473684210526315,1,0.9166666666666666,1,8,1.32,1
10037,4.857,15,9,3,0.875,0,1.0,0,1.0,1,3,0.875,0
10038,4.4,18,12,2,0.9411764705882353,1,1.0666666666666667,2,1.2,1,2,0.9411764705882353,2
10039,4.0,21,14,23,0.6933333333333334,1,0.9523809523809523,1,0.9285714285714286,1,23,0.6933333333333334,1
10040,0.4,19,13,0,1.0,3,1.2307692307692308,1,1.1111111111111112,1,0,1.0,1
10041,2.4,25,18,7,0.890625,1,0.9565217391304348,1,0.9375,0,7,0.890625,1
10042,0.75,18,12,1,1.0476190476190477,1,0.9333333333333333,0,1.0,1,1,1.0476190476190477,0
10043,3.4,19,12,13,1.325,1,1.0555555555555556,1,1.0909090909090908,1,13,1.325,1
10044,4.6,18,12,5,1.1282051282051282,1,1.0588235294117647,1,1.0909090909090908,1,5,1.1282051282051282,1
10045,4.8,20,13,3,0.9090909090909091,1,1.0555555555555556,1,1.0909090909090908,1,3,0.9090909090909091,1
10046,2.75,19,12,1,1.03125,0,1.0,1,1.1,1,1,1.03125,1
10047,4.8,19,13,9,1.375,3,1.2142857142857142,2,1.2222222222222223,0,9,1.375,2
10048,0.0,16,10,4,0.8260869565217391,2,0.8461538461538461,0,1.0,1,4,0.8260869565217391,0
10049,4.6,20,14,4,1.0754716981132075,1,1.0555555555555556,1,1.0833333333333333,0,4,1.0754716981132075,1
10050,4.0,19,11,17,1.6071428571428572,2,1.1176470588235294,0,1.0,1,17,1.6071428571428572,0
10051,0.4,16,10,3,1.1304347826086956,1,0.9285714285714286,1,0.875,1,3,1.1304347826086956,1
10052,2.5,16,10,2,0.9285714285714286,0,1.0,0,1.0,1,2,0.9285714285714286,0
10053,0.8,23,16,1,0.9714285714285714,3,0.85,2,0.8461538461538461,1,1,0.9714285714285714,2
10054,0.8,21,15,22,0.5,5,0.7368421052631579,5,0.6428571428571429,0,22,0.5,5
10055,3.6,15,10,2,1.0740740740740742,0,1.0,1,0.9,1,2,1.0740740740740742,1
10056,4.0,24,16,12,1.25,2,1.0952380952380953,1,1.0714285714285714,1,12,1.25,1
10057,4.0,17,11,18,1.72,0,1.0,0,1.0,1,18,1.72,0
10058,1.75,20,13,10,1.4,1,1.0625,1,1.1,0,10,1.4,1
10059,3.333,20,12,16,1.5333333333333334,2,1.125,0,1.0,1,16,1.5333333333333334,0
10060,3.0,17,10,1,1.032258064516129,0,1.0,1,1.125,1,1,1.032258064516129,1
10061,2.4,20,12,0,1.0,0,1.0,1,0.8888888888888888,0,0,1.0,1
10062,5.0,21,14,10,1.2380952380952381,0,1.0,1,1.0909090909090908,0,10,1.2380952380952381,1
10063,4.8,18,11,10,1.3125,2,1.125,2,1.2222222222222223,1,10,1.3125,2
10064,2.6,18,11,5,1.15625,2,1.125,1,1.1,1,5,1.15625,1
10065,4.6,20,12,7,0.8478260869565217,0,1.0,2,1.2,0,7,0.8478260869565217,2
10066,0.4,16,9,0,1.0,2,0.8666666666666667,2,0.7777777777777778,1,0,1.0,2
10067,0.0,24,16,14,1.2745098039215685,3,1.1578947368421053,0,1.0,1,14,1.2745098039215685,0
10068,0.0,17,12,3,0.8928571428571429,1,1.0769230769230769,1,1.1111111111111112,1,3,0.8928571428571429,1
10069,1.4,23,17,41,2.1714285714285713,5,1.2941176470588236,5,1.4545454545454546,0,41,2.1714285714285713,5
10070,0.417,22,15,8,0.7837837837837838,1,0.9444444444444444,2,0.8333333333333334,1,8,0.7837837837837838,2
10071,0.0,21,13,0,1.0,1,1.0666666666666667,1,1.1111111111111112,0,0,1.0,1
10072,2.6,22,14,17,1.53125,4,1.25,4,1.4444444444444444,1,17,1.53125,4
10073,4.4,16,11,2,1.1,0,1.0,1,0.9090909090909091,1,2,1.1,1
10074,4.0,17,12,7,0.8292682926829268,2,0.8823529411764706,2,0.8333333333333334,1,7,0.8292682926829268,2
10075,1.0,21,14,3,0.9117647058823529,3,0.8421052631578947,2,0.8333333333333334,1,3,0.9117647058823529,2
10076,2.6,24,17,5,1.1428571428571428,0,1.0,2,0.8666666666666667,0,5,1.1428571428571428,2
10077,5.0,19,12,5,1.119047619047619,0,1.0,0,1.0,1,5,1.119047619047619,0
10078,4.0,20,15,3,0.9090909090909091,1,0.9444444444444444,1,0.9230769230769231,0,3,0.9090909090909091,1
10079,4.8,16,10,1,0.9642857142857143,0,1.0,1,1.125,1,1,0.9642857142857143,1
10080,0.0,19,12,4,0.8620689655172413,1,1.0666666666666667,0,1.0,1,4,0.8620689655172413,0
10081,2.2,18,11,17,1.6296296296296295,1,1.0666666666666667,1,0.9,1,17,1.6296296296296295,1
10082,4.6,18,11,11,0.7708333333333334,2,0.8823529411764706,2,0.8181818181818182,1,11,0.7708333333333334,2
10083,2.4,18,11,7,1.35,6,1.5,4,1.5714285714285714,1,7,1.35,4
10084,0.8,21,13,2,0.9473684210526315,0,1.0,0,1.0,0,2,0.9473684210526315,0
10085,0.8,27,19,40,2.212121212121212,3,1.1666666666666667,2,1.1666666666666667,0,40,2.212121212121212,2
10086,2.812,19,12,9,1.375,5,1.3846153846153846,4,1.5,1,9,1.375,4
10087,2.2,23,16,20,1.5128205128205128,2,1.105263157894737,3,1.25,1,20,1.5128205128205128,3
10088,4.6,21,14,6,1.12,0,1.0,0,1.0,1,6,1.12,0
10089,3.0,20,12,3,0.896551724137931,2,1.125,1,1.1,0,3,0.896551724137931,1
10090,2.8,19,11,0,1.0,1,1.0625,2,0.8181818181818182,1,0,1.0,2
10091,3.6,18,11,7,0.7407407407407407,3,0.8235294117647058,2,0.8181818181818182,1,7,0.7407407407407407,2
10092,4.0,16,11,8,1.3333333333333333,1,1.0666666666666667,1,1.1,1,8,1.3333333333333333,1
10093,1.0,18,13,5,0.8148148148148148,1,0.9375,1,0.9090909090909091,1,5,0.8148148148148148,1
10094,2.4,17,10,1,0.9629629629629629,3,1.2142857142857142,2,1.25,1,1,0.9629629629629629,2
10095,2.5,18,11,5,1.1724137931034482,2,1.1428571428571428,1,1.125,0,5,1.1724137931034482,1
10096,0.25,18,12,9,1.25,1,0.9411764705882353,0,1.0,0,9,1.25,0
10097,4.0,21,15,12,1.3,0,1.0,0,1.0,0,12,1.3,0
10098,0.8,13,8,1,0.9444444444444444,1,1.0909090909090908,1,1.1666666666666667,1,1,0.9444444444444444,1
10099,1.2,15,9,2,0.9285714285714286,2,0.8666666666666667,2,0.7777777777777778,1,2,0.9285714285714286,2
10100,2.4,21,14,28,1.8484848484848484,5,1.3333333333333333,3,1.3,0,28,1.8484848484848484,3
10101,0.6,21,14,21,0.6037735849056604,0,1.0,0,1.0,0,21,0.6037735849056604,0
10102,2.4,19,12,9,1.2647058823529411,4,1.2857142857142858,3,1.375,1,9,1.2647058823529411,3
10103,3.75,19,13,14,0.5483870967741935,6,0.6666666666666666,3,0.75,0,14,0.5483870967741935,3
10104,2.8,17,12,2,1.0689655172413792,1,1.0714285714285714,2,1.2222222222222223,0,2,1.0689655172413792,2
10105,3.0,22,14,4,1.0754716981132075,0,1.0,0,1.0,1,4,1.0754716981132075,0
10106,3.6,22,14,3,1.096774193548387,5,1.3125,3,1.3,1,3,1.096774193548387,3
10107,1.5,18,12,2,1.0769230769230769,3,1.2142857142857142,3,1.375,1,2,1.0769230769230769,3
10108,3.8,18,12,15,1.7142857142857142,4,1.2857142857142858,2,1.2,1,15,1.7142857142857142,2
10109,2.6,23,15,12,1.2,1,0.9523809523809523,0,1.0,1,12,1.2,0
10110,2.8,23,16,14,0.7083333333333334,7,0.6956521739130435,6,0.625,0,14,0.7083333333333334,6
10111,3.0,25,18,6,1.1333333333333333,1,0.9545454545454546,2,0.875,0,6,1.1333333333333333,2
10112,5.0,21,13,2,0.9444444444444444,0,1.0,1,0.9166666666666666,1,2,0.9444444444444444,1
10113,2.4,17,11,4,0.92,1,0.9411764705882353,1,0.9090909090909091,0,4,0.92,1
10114,2.8,20,14,1,0.9743589743589743,0,1.0,0,1.0,0,1,0.9743589743589743,0
10115,1.8,19,13,3,0.9210526315789473,3,1.2,3,1.3333333333333333,1,3,0.9210526315789473,3
10116,4.6,18,10,4,0.875,0,1.0,1,0.9,1,4,0.875,1
10117,4.4,23,15,1,0.9824561403508771,3,1.1764705882352942,2,1.2,0,1,0.9824561403508771,2
10118,0.4,18,11,7,0.8055555555555556,0,1.0,1,1.1,1,7,0.8055555555555556,1
10119,3.4,23,16,4,0.9148936170212766,1,1.05,0,1.0,1,4,0.9148936170212766,0
10120,1.2,24,16,19,1.4523809523809523,2,1.105263157894737,1,1.0769230769230769,1,19,1.4523809523809523,1
10121,2.8,18,11,8,1.2666666666666666,1,0.9375,1,0.8888888888888888,0,8,1.2666666666666666,1
10122,0.8,16,10,5,1.2173913043478262,4,1.3333333333333333,3,1.4285714285714286,1,5,1.2173913043478262,3
10123,2.4,18,12,5,0.8837209302325582,1,1.0588235294117647,1,1.0909090909090908,1,5,0.8837209302325582,1
10124,1.6,21,14,8,1.1777777777777778,0,1.0,1,1.0769230769230769,1,8,1.1777777777777778,1
10125,4.0,23,15,0,1.0,0,1.0,1,1.0769230769230769,0,0,1.0,1
10126,1.4,15,9,0,1.0,0,1.0,0,1.0,1,0,1.0,0
10127,0.8,15,9,5,1.2941176470588236,3,1.2727272727272727,2,1.3333333333333333,1,5,1.2941176470588236,2
10128,1.8,19,13,1,0.9642857142857143,2,0.8823529411764706,1,0.9090909090909091,0,1,0.9642857142857143,1
10129,1.4,21,14,0,1.0,2,1.1111111111111112,1,1.0833333333333333,1,0,1.0,1
10130,4.5,17,12,11,0.717948717948718,0,1.0,0,1.0,1,11,0.717948717948718,0
10131,0.0,17,10,3,1.12,3,0.8,4,0.6,1,3,1.12,4
10132,4.25,16,11,12,0.6756756756756757,1,0.9375,1,0.9090909090909091,1,12,0.6756756756756757,1
10133,3.6,16,9,12,0.6842105263157895,1,0.9375,0,1.0,1,12,0.6842105263157895,0
10134,0.2,16,10,4,1.173913043478261,4,1.3333333333333333,3,1.4285714285714286,1,4,1.173913043478261,3
10135,0.4,19,12,15,1.5172413793103448,1,0.9375,0,1.0,1,15,1.5172413793103448,0
10136,4.0,18,13,11,1.3333333333333333,1,1.0588235294117647,1,1.0833333333333333,1,11,1.3333333333333333,1
10137,4.4,19,12,6,1.24,1,1.0588235294117647,1,1.1,1,6,1.24,1
10138,2.8,17,11,6,1.2727272727272727,1,1.0666666666666667,1,1.1111111111111112,0,6,1.2727272727272727,1
10139,0.0,21,14,0,1.0,0,1.0,2,1.2,1,0,1.0,2
10140,2.0,25,17,15,0.8051948051948052,3,0.875,2,0.875,0,15,0.8051948051948052,2
10141,0.6,24,16,2,0.9722222222222222,1,1.05,1,1.0769230769230769,1,2,0.9722222222222222,1
10142,0.0,24,16,18,0.6666666666666666,1,0.95,1,0.9285714285714286,1,18,0.6666666666666666,1
10143,0.4,22,15,1,1.0204081632653061,3,1.1666666666666667,2,1.1666666666666667,0,1,1.0204081632653061,2
10144,0.5,16,10,10,0.6153846153846154,3,0.7857142857142857,1,0.875,1,10,0.6153846153846154,1
10145,4.25,16,10,6,1.2307692307692308,1,1.0714285714285714,2,1.25,1,6,1.2307692307692308,2
10146,2.2,18,11,5,1.2083333333333333,2,1.1333333333333333,2,1.2222222222222223,1,5,1.2083333333333333,2
10147,1.4,21,14,6,0.8125,0,1.0,2,1.1818181818181819,1,6,0.8125,2
10148,4.75,19,11,0,1.0,3,1.25,2,1.2857142857142858,0,0,1.0,2
10149,3.25,23,15,43,0.5113636363636364,4,0.8260869565217391,2,0.8666666666666667,1,43,0.5113636363636364,2
10150,3.8,20,14,10,1.263157894736842,2,1.1176470588235294,2,1.1818181818181819,1,10,1.263157894736842,2
10151,2.0,16,10,5,0.8076923076923077,0,1.0,0,1.0,1,5,0.8076923076923077,0
10152,0.8,19,12,0,1.0,1,0.9444444444444444,1,0.9090909090909091,1,0,1.0,1
10153,3.2,19,12,1,0.9743589743589743,0,1.0,1,1.1111111111111112,1,1,0.9743589743589743,1
10154,4.8,17,10,3,1.09375,1,1.0666666666666667,1,1.125,0,3,1.09375,1
10155,4.0,23,16,1,0.98,1,1.0526315789473684,1,1.0833333333333333,0,1,0.98,1
10156,4.6,19,14,1,0.9714285714285714,0,1.0,0,1.0,1,1,0.9714285714285714,0
10157,2.818,21,14,17,1.435897435897436,0,1.0,1,0.9230769230769231,1,17,1.435897435897436,1
10158,0.0,21,13,2,1.0869565217391304,2,0.8823529411764706,2,0.8181818181818182,1,2,1.0869565217391304,2
10159,1.0,22,14,5,0.8780487804878049,1,0.95,1,0.9230769230769231,0,5,0.8780487804878049,1
10160,0.0,22,16,6,0.8909090909090909,0,1.0,0,1.0,1,6,0.8909090909090909,0
10161,4.6,18,12,5,1.0980392156862746,1,0.9411764705882353,1,0.9090909090909091,1,5,1.0980392156862746,1
10162,1.2,20,14,1,0.9736842105263158,1,1.0555555555555556,2,1.1666666666666667,1,1,0.9736842105263158,2
10163,0.8,27,19,10,1.1265822784810127,2,0.9130434782608695,3,0.8125,0,10,1.1265822784810127,3
10164,1.0,23,15,1,0.9655172413793104,1,0.9473684210526315,1,0.9166666666666666,1,1,0.9655172413793104,1
10165,2.667,19,11,6,1.2222222222222223,1,1.0666666666666667,2,1.25,1,6,1.2222222222222223,2
10166,2.8,23,15,10,1.1886792452830188,3,1.1578947368421053,1,1.0769230769230769,1,10,1.1886792452830188,1
10167,0.0,18,12,3,0.9032258064516129,1,1.0666666666666667,1,1.1,1,3,0.9032258064516129,1
10168,4.5,24,16,14,0.6744186046511628,4,0.8095238095238095,1,0.9230769230769231,0,14,0.6744186046511628,1
10169,0.0,21,15,6,0.8378378378378378,1,1.0625,2,1.1818181818181819,1,6,0.8378378378378378,2
10170,0.538,18,11,1,1.04,0,1.0,0,1.0,1,1,1.04,0
10171,1.0,18,13,2,1.0769230769230769,0,1.0,0,1.0,1,2,1.0769230769230769,0
10172,0.4,21,13,1,0.9767441860465116,3,0.8421052631578947,2,0.8181818181818182,1,1,0.9767441860465116,2
10173,0.8,18,12,3,0.9318181818181818,4,1.2857142857142858,3,1.3333333333333333,1,3,0.9318181818181818,3
10174,5.0,19,13,9,0.7096774193548387,3,0.8235294117647058,4,0.6666666666666666,0,9,0.7096774193548387,4
10175,0.8,24,16,27,0.5645161290322581,3,0.8571428571428571,3,0.7857142857142857,1,27,0.5645161290322581,3
10176,4.2,20,14,13,1.4333333333333333,4,1.25,3,1.2727272727272727,1,13,1.4333333333333333,3
10177,3.5,19,12,5,0.868421052631579,3,0.8333333333333334,3,0.75,1,5,0.868421052631579,3
10178,1.667,19,12,1,1.0263157894736843,1,0.9411764705882353,1,0.9090909090909091,1,1,1.0263157894736843,1
10179,3.4,25,17,19,0.6779661016949152,1,1.0454545454545454,1,1.0666666666666667,0,19,0.6779661016949152,1
10180,0.85,17,11,5,1.2173913043478262,0,1.0,0,1.0,1,5,1.2173913043478262,0
10181,3.2,19,12,4,0.8974358974358975,0,1.0,1,0.9,1,4,0.8974358974358975,1
10182,1.0,16,10,0,1.0,1,1.0714285714285714,1,1.125,1,0,1.0,1
10183,1.2,21,14,7,1.2592592592592593,1,0.9444444444444444,1,1.0909090909090908,1,7,1.2592592592592593,1
10184,3.8,21,15,5,1.1,0,1.0,1,0.9285714285714286,1,5,1.1,1
10185,5.0,19,12,5,1.2083333333333333,2,1.1176470588235294,1,1.0909090909090908,1,5,1.2083333333333333,1
10186,1.6,14,8,3,0.8846153846153846,2,0.8571428571428571,1,0.875,1,3,0.8846153846153846,1
10187,1.8,23,16,8,0.8333333333333334,1,1.0476190476190477,1,1.0714285714285714,0,8,0.8333333333333334,1
10188,0.0,18,12,1,1.0384615384615385,1,1.0714285714285714,1,1.1111111111111112,0,1,1.0384615384615385,1
10189,4.25,19,14,0,1.0,0,1.0,1,0.9166666666666666,0,0,1.0,1
10190,0.4,20,14,7,1.2692307692307692,1,1.0555555555555556,1,1.0833333333333333,1,7,1.2692307692307692,1
10191,2.75,19,13,0,1.0,0,1.0,0,1.0,1,0,1.0,0
10192,0.6,23,16,5,1.0980392156862746,1,0.9523809523809523,1,0.9285714285714286,0,5,1.0980392156862746,1
10193,4.4,20,14,10,0.7560975609756098,3,0.85,3,0.7857142857142857,1,10,0.7560975609756098,3
10194,4.4,19,12,1,0.9696969696969697,2,0.8947368421052632,2,0.8333333333333334,1,1,0.9696969696969697,2
10195,3.6,17,12,14,1.7,4,1.3076923076923077,3,1.3333333333333333,1,14,1.7,3
10196,1.4,20,12,1,0.9777777777777777,2,1.1176470588235294,2,1.2,1,1,0.9777777777777777,2
10197,4.6,19,12,18,0.6086956521739131,3,0.8421052631578947,2,0.8333333333333334,1,18,0.6086956521739131,2
10198,2.4,22,15,1,0.972972972972973,2,1.1176470588235294,1,1.0833333333333333,0,1,0.972972972972973,1
10199,0.0,18,11,1,0.9655172413793104,2,1.1333333333333333,1,1.1111111111111112,1,1,0.9655172413793104,1
10200,4.0,20,14,13,0.7111111111111111,4,0.7894736842105263,4,0.7142857142857143,1,13,0.7111111111111111,4
10201,3.4,20,14,4,1.0869565217391304,3,1.1875,3,1.3,0,4,1.0869565217391304,3
10202,2.4,19,13,3,0.9142857142857143,0,1.0,0,1.0,0,3,0.9142857142857143,0
10203,0.6,24,16,13,1.2131147540983607,3,1.15,4,1.3333333333333333,0,13,1.2131147540983607,4
10204,3.2,21,14,12,1.4285714285714286,3,1.1764705882352942,2,1.1818181818181819,0,12,1.4285714285714286,2
10205,2.5,23,16,14,0.6956521739130435,1,0.9444444444444444,2,0.8333333333333334,0,14,0.6956521739130435,2
10206,4.0,21,14,21,0.6666666666666666,2,0.9047619047619048,2,0.8571428571428571,1,21,0.6666666666666666,2
10207,2.333,20,14,13,0.6829268292682927,2,0.8888888888888888,2,0.8461538461538461,1,13,0.6829268292682927,2
10208,0.5,17,11,0,1.0,1,0.9285714285714286,3,0.7,1,0,1.0,3
10209,1.0,21,14,7,0.851063829787234,1,0.9473684210526315,1,0.9166666666666666,1,7,0.851063829787234,1
10210,0.8,17,12,2,1.0740740740740742,1,1.0714285714285714,1,1.1111111111111112,1,2,1.0740740740740742,1
10211,3.8,20,13,24,0.6521739130434783,0,1.0,0,1.0,1,24,0.6521739130434783,0
10212,0.2,18,12,1,1.0384615384615385,1,1.0666666666666667,0,1.0,1,1,1.0384615384615385,0
10213,1.25,18,11,6,0.7777777777777778,3,0.8125,2,0.8,1,6,0.7777777777777778,2
10214,3.4,22,15,19,0.6885245901639344,5,0.7727272727272727,4,0.7333333333333333,1,19,0.6885245901639344,4
10215,2.8,23,16,20,0.6078431372549019,5,0.7727272727272727,4,0.7333333333333333,0,20,0.6078431372549019,4
10216,0.2,18,11,4,0.8620689655172413,2,0.875,2,0.8,1,4,0.8620689655172413,2
10217,2.0,22,15,15,1.4838709677419355,3,1.1875,3,1.3,0,15,1.4838709677419355,3
10218,0.4,22,15,7,1.1428571428571428,2,1.1111111111111112,1,1.0833333333333333,1,7,1.1428571428571428,1
10219,3.75,17,11,13,1.5,0,1.0,1,0.9,1,13,1.5,1
10220,0.231,19,12,1,0.9411764705882353,0,1.0,1,1.125,1,1,0.9411764705882353,1
10221,4.091,14,8,1,0.9615384615384616,1,0.9285714285714286,0,1.0,1,1,0.9615384615384616,0
10222,0.0,20,12,0,1.0,1,1.0625,1,0.9,1,0,1.0,1
10223,1.0,16,9,2,0.92,0,1.0,0,1.0,1,2,0.92,0
10224,0.8,17,10,2,1.0833333333333333,1,0.9285714285714286,1,0.875,1,2,1.0833333333333333,1
10225,2.0,20,14,15,1.4285714285714286,3,1.1875,3,1.3,0,15,1.4285714285714286,3
10226,3.0,21,15,19,1.4871794871794872,4,1.25,4,1.4,1,19,1.4871794871794872,4
10227,0.4,22,14,14,1.3181818181818181,0,1.0,2,1.1818181818181819,1,14,1.3181818181818181,2
10228,1.0,20,14,10,1.3571428571428572,2,1.125,2,1.2,1,10,1.3571428571428572,2
10229,3.5,20,13,7,1.1555555555555554,0,1.0,0,1.0,1,7,1.1555555555555554,0
10230,0.4,22,15,22,0.5849056603773585,4,0.8095238095238095,3,0.7857142857142857,1,22,0.5849056603773585,3
10231,1.0,19,13,8,0.7837837837837838,5,0.7368421052631579,4,0.6923076923076923,1,8,0.7837837837837838,4
10232,0.2,19,12,10,1.434782608695652,3,1.2142857142857142,1,1.1111111111111112,1,10,1.434782608695652,1
10233,1.25,21,14,12,0.7073170731707317,3,0.8333333333333334,3,0.75,1,12,0.7073170731707317,3
10234,3.8,18,11,2,1.0833333333333333,0,1.0,0,1.0,1,2,1.0833333333333333,0
10235,2.2,19,12,17,0.6666666666666666,0,1.0,1,0.9090909090909091,1,17,0.6666666666666666,1
10236,3.4,22,15,0,1.0,0,1.0,0,1.0,1,0,1.0,0
10237,4.0,19,12,2,0.9259259259259259,2,0.8823529411764706,1,0.9,1,2,0.9259259259259259,1
10238,3.0,18,12,1,0.9743589743589743,1,1.0625,2,1.2,1,1,0.9743589743589743,2
10239,1.6,16,11,1,0.9375,3,1.3,2,1.2857142857142858,0,1,0.9375,2
10240,0.75,19,12,0,1.0,0,1.0,0,1.0,1,0,1.0,0
10241,1.0,23,16,15,1.46875,2,1.1111111111111112,0,1.0,1,15,1.46875,0
10242,2.5,18,11,4,0.8709677419354839,2,0.8888888888888888,1,0.9090909090909091,1,4,0.8709677419354839,1
10243,0.0,22,14,11,0.7962962962962963,1,0.9523809523809523,1,0.9230769230769231,1,11,0.7962962962962963,1
10244,0.4,18,12,1,1.04,3,1.2307692307692308,3,1.375,1,1,1.04,3
10245,4.6,20,14,9,0.8163265306122449,0,1.0,0,1.0,1,9,0.8163265306122449,0
10246,1.6,19,13,1,1.0416666666666667,1,1.0666666666666667,1,1.0909090909090908,1,1,1.0416666666666667,1
10247,0.6,19,12,9,0.7857142857142857,1,1.0588235294117647,1,1.1,1,9,0.7857142857142857,1
10248,0.4,19,12,0,1.0,1,1.0588235294117647,0,1.0,1,0,1.0,0
10249,2.4,16,10,4,1.1481481481481481,0,1.0,0,1.0,0,4,1.1481481481481481,0
10250,3.6,20,13,27,1.7714285714285714,4,1.25,3,1.3,1,27,1.7714285714285714,3
10251,1.4,17,10,5,0.8333333333333334,3,0.8125,3,0.7,1,5,0.8333333333333334,3
10252,4.2,17,11,4,1.1081081081081081,0,1.0,0,1.0,1,4,1.1081081081081081,0
10253,1.8,18,12,0,1.0,0,1.0,1,0.9090909090909091,1,0,1.0,1
10254,3.2,18,11,19,1.6551724137931034,0,1.0,1,0.9090909090909091,1,19,1.6551724137931034,1
10255,4.0,16,10,3,1.1304347826086956,1,0.9333333333333333,0,1.0,1,3,1.1304347826086956,0
10256,0.4,24,16,17,1.3148148148148149,2,1.1,2,1.1666666666666667,1,17,1.3148148148148149,2
10257,2.0,15,9,4,0.8571428571428571,1,1.0714285714285714,1,1.125,1,4,0.8571428571428571,1
10258,3.0,22,15,6,0.8636363636363636,3,0.8421052631578947,2,0.8461538461538461,0,6,0.8636363636363636,2
10259,0.8,18,11,2,1.0740740740740742,1,1.0666666666666667,2,1.25,1,2,1.0740740740740742,2
10260,0.25,20,13,0,1.0,2,0.8823529411764706,1,0.9,1,0,1.0,1
10261,0.0,21,13,20,0.6875,3,0.85,3,0.7692307692307693,1,20,0.6875,3
10262,2.6,23,16,10,0.8507462686567164,3,0.85,2,0.8461538461538461,0,10,0.8507462686567164,2
10263,1.8,19,12,1,1.0384615384615385,3,1.2,2,1.2222222222222223,1,1,1.0384615384615385,2
